Food Item,Serving Location
Tomato Basil Pizza on Wheat (v),The Brick
Fusilli w/Roasted Vegetable & Asiago (v),The Brick
Mexican Chocolate Cake (v),Bakery
Cheese Bread (v),Bakery
Rotisserie Pork Loin,Chef's Choice
Black Magic Plum Sauce,Chef's Choice
Oven Browned Potatoes (vgn),Chef's Choice
Thai Style Chicken Drumstick,International
Spinach with Garlic & Ginger (vgn),International
Spicy Tuna Brown Rice Sushi Plate,International
Vegetable Roll with Brown Rice (vgn),International
Fresh Strawberry (vgn),Greens & Grains
8 Grain Hot Cereal (vgn),Greens & Grains
Steamed White Rice (vgn),Greens & Grains
Salami Pizza,The Brick
Chicken Chilaquiles,The Brick
Mushroom Cream Sauce (v),The Brick
Chickpea Pasta,The Brick
Orange Scone (v),Bakery
Hot Turkey Sandwich,Chef's Choice
Grilled Cheese on Sourdough (v),Chef's Choice
Spicy Navy Bean Soup (vgn),Chef's Choice
Scrambled Eggs with Ham & Cheese,The Grill
Cauliflower w/Sugar Snap Peas (vgn),The Grill
Roasted Breakfast Potato (vgn),The Grill
Bolognese Sauce with Pancetta,The Brick
Chicken Chile Verde with Corn Tortillas,Chef's Choice
Tortilla Chips & Salsa (vgn),Chef's Choice
Lettuce & Cheese &Tomatoes (vgn),Chef's Choice
Hoisin Chicken,International
Spicy Eggplant Broc w/Ginger Sauce(vgn),International
California Club Sushi Plate,International
Tempura Onion Roll (v),International
Peach Yogurt (v),Greens & Grains
Blueberry Coffee Cake (v),Bakery
Mexican Scrambled Eggs (v),The Grill
Sourdough French Toast (v),The Grill
Fresh Sauteed Spinach (vgn),The Grill
Cherry Tomato White Bean Salad (vgn),Greens & Grains
Chipotle Hummus & Quinoa Wrap (vgn),Greens & Grains
Quinoa (vgn),Greens & Grains
Tortilla Soup (vgn),Greens & Grains
Raita Sauce (v),Salad Bar Featured Items
Sweet &Tangy Pickled Red Onion (vgn),Salad Bar Featured Items
Bulgur Wheat (vgn),Salad Bar Featured Items
Italian Sausage & Basil Stromboli,The Brick
Fresh Basil Pesto (v),The Brick
White Wine Garlic Sauce with Chicken,The Brick
Herb Focaccia Bread (vgn),Bakery
Apple Kuchen (v),Bakery
Oatmeal Raisin Bar (w/nuts) (v),Bakery
Pulled Pork Buffalo Style Sandwich,Chef's Choice
Egg & Arugula & Herb Tartine (v),Chef's Choice
Cabbage Cilantro Slaw (vgn),Chef's Choice
Teriyaki Chicken Stir Fry,International
Stir Fried Chinese Greens (vgn),International
California Roll,International
Grilled Cheese and Tomato on Wheat (v),The Grill
Housemade Spicy Ketchup (vgn),The Grill
Canadian Bacon and Pineapple Pizza,The Brick
Russian Bread (v),Bakery
Pork Chinese BBQ,Chef's Choice
Red Potatoes with Rosemary (vgn),Chef's Choice
Vegetables Steamed Brown Rice (vgn),Chef's Choice
Tandoori Spiced Chicken,International
Mujaddara Lentils and Rice (v),International
Seasoned Vegetable Medley (vgn),International
California Sushi Plate,International
Granola Cantaloupe Parfait (v),Greens & Grains
Carribean Coconut Bread (v),Bakery
Bacon,The Grill
Sweet Potato Hash (vgn),The Grill
Italian Bread Salad (v),Greens & Grains
Chicken Caesar Wrap,Greens & Grains
Egg Salad (v),Greens & Grains
Sweet Potato Coconut Soup (vgn),Greens & Grains
Garlic Pizza on Wheat (v),The Brick
Chicken Artichoke Pesto Flatbread,The Brick
Sun Dried Tomato Bread (v),Bakery
Chocolate Crinkle Cookie (v),Bakery
Espresso Coffee Cupcake,Bakery
Shepherd's Pie,Chef's Choice
Pita Sandwich w/Hummus & Tabouli (v),Chef's Choice
Cuban Sandwich,International
Seasoned Sweet Potato Halves (vgn),International
Orange Infused Green Beans (vgn),International
Black Bean Burger (vgn),The Grill
Banana Pancakes (v),The Grill
Risotto with Fresh Vegetables (vgn),The Brick
Tomato and Roasted Garlic Sauce (vgn),The Brick
Toll House Bar (v),Bakery
Chorizo Spiced Potato Quesadilla (v),Chef's Choice
Beef Pad Thai with Peanuts (w/nuts),International
Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),International
Raspberry Yogurt (v),Greens & Grains
Honeydew & Berry Parfait (v),Greens & Grains
Carrot Walnut Bread (w/nuts) (v),Bakery
Strawberry Muffin (v),Bakery
