Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Spinach Stir Fried with Garlic (vgn),Vegetable Roll with Brown Rice (vgn),International,Vegetable Roll ,International,Mujaddara Lentils and Rice (v),International,Creole Beans and Rice (vgn),International
Spicy Scallop Sushi Roll,Roasted Tomato Salsa ,International,California Roll,International,Tempura Onion Roll ,International,Salmon Roll,International
Daikon Roll (vgn),Calamari Roll,International,Cucumber & Avocado Roll ,International,Fire Roasted Tomato Salsa (vgn),International,Chile Salsa ,International
Hamburger,Cheeseburger,The Grill,Grilled Turkey Burger,The Grill,Grass Fed Burger,The Grill,Black Bean Burger (vgn),The Grill
Baked Hawaiian Vegetarian Sandwich (v),Grilled BBQ Chicken Sandwich,The Grill,Grilled Vegetable and Bean Burrito (vgn),The Grill,Cheese Quesadilla with Chiles ,The Grill,Cheese Quesadilla (v),The Grill
Steak Fries (vgn),Eggplant Parmesan Casserole ,The Grill,Mushroom Tofu Veggie Slider (w/nuts) (v),The Grill,Mexican Scrambled Eggs ,The Grill,Crinkle Cut French Fries (vgn),The Grill
Chimichurri Sauce (vgn),Spicy Mustard Sauce (vgn),The Grill,Red Chimichurri Sauce (vgn),The Grill,Chimichurri Sauce ,The Grill,Tartar Sauce ,The Grill
Chipotle Aioli (v),Caramelized Onion Compote ,The Grill,Sauteed Cabbage & Tomatoes ,The Grill,Grilled Cheddar On Wheat ,The Grill,Mexican Scrambled Eggs (v),The Grill
Pumpkin Seed Pesto (v),Fresh Cage Free Scrambled Eggs ,The Grill,Shoestring Fries ,The Grill,Sauteed Zucchini with Garlic (vgn),The Grill,Grilled Cheese on Sourdough ,The Grill
Linguini Pasta (vgn),Corn Pasta Sauce (v),The Brick,Pasta Carbonara,The Brick,Whole Wheat Penne Pasta ,The Brick,Penne Arrabiata with Chicken,The Brick
Pasta Penne with Chicken & Mushrooms,Penne w/Butternut Squash Sauce ,The Brick,Grilled Salmon Pasta w/Roma Tomato,The Brick,Fettuccine Pasta (vgn),The Brick,Pasta Primavera ,The Brick
New York Style Crumb Cake (vgn),M&M Bar (w/nuts) (v),Bakery,Raspberry Swirl Coffee Cake,Bakery,Oatmeal Raisin Bar (w/nuts) (v),Bakery,Snickerdoodle Cookie (v),Bakery
Grilled Chicken Breast,Fresh Cauliflower & Carrots (vgn),Chef's Choice,Arroz con Pollo,Chef's Choice,Cilantro Lime Crema (v),Chef's Choice,Pork Chinese BBQ,Chef's Choice
